token,neighbor,cosine
the,ther,0.7755357
the,there,0.7720505
the,they,0.7652257
the,their,0.7632719
the,which,0.7620393
the,of,0.7606253
the,and,0.7463333
the,them,0.7437913
the,each,0.7357459
the,it,0.7260468
of,the,0.7606253
of,comprising,0.7457101
of,and,0.7443644
of,conceptof,0.7423868
of,consisting,0.7420952
of,that,0.72645617
of,let,0.7221281
of,consists,0.7177916
of,or,0.71726245
of,from,0.7091211
and,also,0.8039325
and,but,0.79304624
and,there,0.7863656
and,respectively,0.7787459
and,both,0.77434766
and,additionally,0.761619
and,the,0.7463333
and,of,0.7443644
and,furthermore,0.7420277
and,thus,0.74043167
in,in-,0.90532523
in,inh,0.7694128
in,ine,0.76760143
in,in-java,0.7446391
in,in-house,0.71142733
in,invoking,0.71082383
in,ing,0.7081077
in,country,0.699509
in,inc,0.6993035
in,invocation,0.6956757
to,to-,0.9719967
to,correspond,0.76195556
to,from,0.7504302
to,corresponding,0.7321839
to,receive,0.73082834
to,one-to-one,0.7277289
to,corresponds,0.7251921
to,thu,0.72390616
to,get,0.7238633
to,directly,0.71474314
is,its,0.863987
is,was,0.803487
is,islocal,0.7541863
is,being,0.7474931
is,are,0.74290466
is,has,0.732453
is,it,0.7274825
is,if,0.72033745
is,speci-,0.7014479
is,consists,0.6932193
for,for-,0.96649677
for,per,0.7874298
for,per-,0.77937096
for,let,0.7232404
for,needed,0.712555
for,over,0.7090415
for,than,0.7084701
for,given,0.70764565
for,each,0.7061626
for,if,0.70540375
that,those,0.8534539
that,this,0.8251934
that,there,0.7769316
that,there-,0.7548886
that,something,0.73895204
that,thing,0.7291396
that,of,0.72645617
that,certain,0.7216263
that,indeed,0.71962214
that,and,0.7192378
we,our,0.91629565
we,ours,0.86461943
we,us,0.8115881
we,us-,0.7756807
we,were,0.77428603
we,are,0.7611361
we,here,0.7451716
we,they,0.7431751
we,together,0.7292577
we,you,0.7290558
are,were,0.86026025
are,we,0.7611361
are,be,0.7590974
are,their,0.7509718
are,being,0.74886733
are,is,0.74290466
are,be-,0.7384743
are,among,0.736312
are,those,0.7315672
are,our,0.72568226
as,as-,0.95997345
as,ase,0.77721894
as,ast,0.7684832
as,astparser,0.74663246
as,an,0.73869663
as,asts,0.7384743
as,at,0.7291278
as,an-,0.71706384
as,na-,0.71578294
as,being,0.6977824
on,on-,0.9648538
on,ond,0.82821566
on,upon,0.81967705
on,onto,0.7765774
on,ons,0.76772684
on,off,0.7128119
on,fix-on-fix,0.70357805
on,let,0.7006177
on,op,0.6972201
on,there,0.69346833
software,software-,0.9330113
software,software1,0.84554803
software,downloads,0.78753537
software,tools,0.7730098
software,packages,0.7719677
software,programming,0.7657988
software,technology,0.75837094
software,applications,0.7546209
software,plugins,0.747471
software,package,0.7451236
this,that,0.8251934
this,these,0.8095377
this,here,0.78052133
this,there,0.76164037
this,something,0.7518147
this,thus,0.73855567
this,also,0.7269887
this,there-,0.72449505
this,additionally,0.7228334
this,but,0.7186249
code,code-,0.96573615
code,codes,0.9207667
code,coding,0.85862803
code,source-code,0.80187887
code,codebase,0.7684952
code,barcode,0.76577413
code,programming,0.7602157
code,encode,0.7584526
code,encoded,0.74736
code,encodes,0.7437725
or,either,0.8613704
or,any,0.77615607
or,any-,0.7624454
or,option,0.75158024
or,than,0.7443681
or,both,0.736
or,else,0.73568773
or,ori-,0.73285264
or,orso,0.73152614
or,rather,0.71905565
by,by_type,0.7084399
by,fixed-by,0.70593965
by,per,0.6949652
by,subject,0.6904005
by,at,0.689055
by,published,0.67962456
by,abstract,0.6773545
by,their,0.67466885
by,independently,0.6746529
by,text,0.66684574
be,be-,0.97423697
be,ber,0.7775107
be,being,0.7628077
be,are,0.7590974
be,exist,0.7508227
be,been,0.74651575
be,exist-,0.7326053
