token,token_id,freq
the,0,8520
of,1,5238
and,2,3730
in,3,3372
to,4,3339
is,5,2056
for,6,1909
that,7,1599
we,8,1530
are,9,1350
as,10,1110
on,11,1084
software,12,1054
this,13,1022
code,14,908
or,15,856
by,16,849
be,17,819
with,18,730
not,19,665
from,20,659
data,21,624
an,22,608
source,23,599
evolution,24,560
can,25,557
have,26,555co8
it,27,533
our,28,500
changes,29,459
files,30,444
information,31,433
which,32,408
file,33,407
number,34,406
change,35,399
project,36,390
projects,37,388
all,38,378
analysis,39,376
one,40,372
two,41,369
system,42,369
mining,43,362
such,44,352
each,45,349
between,46,346
figure,47,343
these,48,334
at,49,329
patterns,50,326
pattern,51,325
used,52,306
using,53,301
may,54,291
other,55,291
use,56,286
version,57,284
example,58,280
has,59,277
cvs,60,272
same,61,270
more,62,269
repository,63,264
work,64,261
if,65,261
they,66,254
only,67,252
tool,68,249
repositories,69,244
different,70,241
results,71,241
bug,72,240
class,73,238
but,74,231
also,75,229
table,76,227
program,77,222
how,78,221
set,79,218
been,80,213
method,81,213
engineering,82,208
their,83,208
when,84,206
section,85,205
was,86,204
systems,87,204
lines,88,202
some,89,200
first,90,199
than,91,198
new,92,196
type,93,191
approach,94,191
based,95,191
versions,96,189
java,97,184
time,98,180
will,99,180
many,100,179
were,101,178
large,102,177
common,103,175
about,104,174
there,105,173
research,106,172
matching,107,171
because,108,170
development,109,169
pages,110,168
sequences,111,168
developers,112,166
coupling,113,161
name,114,161
level,115,157
function,116,157
concept,117,156
case,118,156
found,119,155
into,120,155
logical,121,154
clone,122,154
open,123,153
design,124,153
similarity,125,152
elements,126,148
its,127,145
however,128,145
do,129,144
history,130,143
idf,131,142
clones,132,141
shows,133,139
task,134,139
classes,135,138
study,136,138
size,137,138
keywords,138,136
methods,139,135
micro,140,135
line,141,134
proceedings,142,133
related,143,133
debian,144,132
both,145,131
similar,146,130
ieee,147,129
copies,148,128
eclipse,149,128
algorithm,150,128
them,151,127
search,152,126
paper,153,125
tree,154,125
comments,155,124
group,156,123
process,157,123
transactions,158,123
implementation,159,122
international,160,122
tools,161,121
should,162,121
most,163,121
programming,164,120
order,165,119
high,166,119
given,167,119
types,168,118
make,169,116
so,170,116
changed,171,116
transaction,172,116
since,173,115
any,174,115
al,175,114
three,176,114
no,177,113
called,178,112
would,179,112
techniques,180,111
part,181,111
database,182,111
language,183,108
then,184,108
support,185,108
functions,186,108
future,187,107
proc,188,106
like,189,105
packages,190,105
et,191,104
conference,192,104
http,193,102
identify,194,102
th,195,101
where,196,101
revision,197,100
thus,198,100
often,199,99
computer,200,99
specific,201,99
very,202,99
several,203,99
while,204,98
ing,205,98
over,206,98
sequence,207,97
workshop,208,97
find,209,97
frequent,210,97
none,211,96
instance,212,96
those,213,95
control,214,95
well,215,95
graph,216,94
fix,217,94
cases,218,94
out,219,94
kinds,220,94
concern,221,93
test,222,93
comment,223,93
added,224,92
problem,225,92
acm,226,92
see,227,92
maintenance,228,91
release,229,91
architecture,230,90
concerns,231,89
without,232,89
total,233,89
metrics,234,89
after,235,88
could,236,88
trees,237,87
framework,238,87
need,239,86
another,240,86
students,241,86
therefore,242,86
does,243,85
component,244,85
analyses,245,85
general,246,85
api,247,85
shown,248,84
nodes,249,84
heuristics,250,84
full,251,84
provide,252,84
even,253,84
every,254,84
available,255,83
node,256,83
algorithms,257,83
visualization,258,83
measures,259,82
made,260,82
developer,261,82
tion,262,81
user,263,80
query,264,79
model,265,79
rules,266,78
names,267,78
programmers,268,78
cktf,269,77
provided,270,76
languages,271,76
existing,272,76
aspect,273,76
call,274,76
kind,275,76
ratio,276,75
fee,277,74
student,278,74
abstract,279,74
technique,280,74
module,281,74
permission,282,73
multiple,283,72
single,284,72
developed,285,72
among,286,72
following,287,71
include,288,71
identifiers,289,71
context,290,70
www,291,70
terms,292,70
various,293,69
sets,294,69
int,295,69
lists,296,69
msr,297,69
identified,298,69
contains,299,68
productivity,300,68
space,301,68
small,302,67
low,303,67
particular,304,67
components,305,67
distribution,306,67
possible,307,65
across,308,65
second,309,65
measure,310,65
distributed,311,65
structure,312,65
what,313,65
management,314,65
us,315,64
identities,316,64
value,317,64
modified,318,64
show,319,64
report,320,64
log,321,64
complete,322,64
org,323,64
interface,324,64
through,325,64
result,326,63
introduction,327,63
text,328,63
usa,329,63
understanding,330,63
features,331,63
way,332,63
presented,333,63
ossmole,334,63
matches,335,63
useful,336,62
tf,337,62
applications,338,62
values,339,62
pairs,340,62
feature,341,62
researchers,342,61
properties,343,61
calls,344,61
floss,345,61
fix-inducing,346,61
usage,347,61
although,348,60
able,349,60
interesting,350,60
